sku,parent-sku,name,original-brand,brand,partner,original-category,category,description,list-price,sale-price,color,color-family,color-substitute,size,image-url1,image-url2,image-url3,image-url4,image-url5,image-url6,image-url7,source-url,partner-data
ef75e30ef6a86be6,7ffca0e47a574979,Women's No Show Socks 3-Pack -,C9 ChampionВ®,C9 ChampionВ®,Target.com,New,"","<p>C9 Champion women's no-show socks are a great choice to wear with either casual or formal shoes. Made of polyester with a touch of expandable spandex, this pack of 3 socks offers comfort. Machine wash these womens socks to maintain them. Available in assorted colors and standard sizes.</p>",8.99,"",Pink/blue,pink|@|blue,"",5-9,http://scene7.targetimg1.com/is/image/Target/14068740,"","","","","","",http://www.target.com/p/women-s-no-show-socks-3-pack-c9-by-champion/-/A-14068741,""
12c2a7d17658d89c,7ffca0e47a574979,Women's No Show Socks 3-Pack -,C9 ChampionВ®,C9 ChampionВ®,Target.com,New,"","<p>C9 Champion women's no-show socks are a great choice to wear with either casual or formal shoes. Made of polyester with a touch of expandable spandex, this pack of 3 socks offers comfort. Machine wash these womens socks to maintain them. Available in assorted colors and standard sizes.</p>",8.99,"",Purple/blue,purple|@|blue,"",5-9,http://scene7.targetimg1.com/is/image/Target/14068741,"","","","","","",http://www.target.com/p/women-s-no-show-socks-3-pack-c9-by-champion/-/A-14068741,""
bf66ea2194c84314,7ffca0e47a574979,Women's No Show Socks 3-Pack -,C9 ChampionВ®,C9 ChampionВ®,Target.com,New,"","<p>C9 Champion women's no-show socks are a great choice to wear with either casual or formal shoes. Made of polyester with a touch of expandable spandex, this pack of 3 socks offers comfort. Machine wash these womens socks to maintain them. Available in assorted colors and standard sizes.</p>",8.99,"",Black,black,"",5-9,http://scene7.targetimg1.com/is/image/Target/14068642,"","","","","","",http://www.target.com/p/women-s-no-show-socks-3-pack-c9-by-champion/-/A-14068741,""
78325c62401ac076,3ef4b469e537ea01,Wool Flannel Blazer,LACOSTE,Lacoste,Lacoste,Men: Clothing: Jackets & Coats,"","description",420.00,209.99,Navy Blue,blue,"",46,http://imagena1.lacoste.com/sits_pod26/dw/image/v2/AAUP_PRD/on/demandware.static/-/Sites-master/default/dw78c71cf5/10_VH2134-51_166_20.jpg?sw=656&amp;sh=656&amp;sm=fit,http://imagena1.lacoste.com/sits_pod26/dw/image/v2/AAUP_PRD/on/demandware.static/-/Sites-master/default/dw59e3ad39/10_VH2134-51_166_22.jpg?sw=656&amp;sh=656&amp;sm=fit,http://imagena1.lacoste.com/sits_pod26/dw/image/v2/AAUP_PRD/on/demandware.static/-/Sites-master/default/dw4b75ab82/10_VH2134-51_166_24.jpg?sw=656&amp;sh=656&amp;sm=fit,"","","","",http://www.lacoste.com/us/lacoste/men/clothing/jackets-coats/wool-flannel-blazer-/VH2134-51.html?dwvar_VH2134-51_color=166,""
